縣市,行政區,人口數,已開店數,店家名稱,特殊狀態,備註,配額
宜蘭縣,宜蘭市,94396,=COUNTIFS(已簽約店家!$B:$B;A2;已簽約店家!$C:$C;B2),=TEXTJOIN("|";TRUE;IF((已簽約店家!$B:$B=A2)*(已簽約店家!$C:$C=B2);已簽約店家!$A:$A;"")),正常,,2
宜蘭縣,羅東鎮,68850,=COUNTIFS(已簽約店家!$B:$B;A3;已簽約店家!$C:$C;B3),=TEXTJOIN("|";TRUE;IF((已簽約店家!$B:$B=A3)*(已簽約店家!$C:$C=B3);已簽約店家!$A:$A;"")),正常,,3
宜蘭縣,冬山鄉,52904,=COUNTIFS(已簽約店家!$B:$B;A4;已簽約店家!$C:$C;B4),=TEXTJOIN("|";TRUE;IF((已簽約店家!$B:$B=A4)*(已簽約店家!$C:$C=B4);已簽約店家!$A:$A;"")),正常,,1
宜蘭縣,五結鄉,41757,=COUNTIFS(已簽約店家!$B:$B;A5;已簽約店家!$C:$C;B5),=TEXTJOIN("|";TRUE;IF((已簽約店家!$B:$B=A5)*(已簽約店家!$C:$C=B5);已簽約店家!$A:$A;"")),正常,,1
